"serial","name","name_sort","desc","web","med","org","blog","forum","url","url_itunes","url_android","keywords","tstamp"
"1","New York Times","New","US Newspaper of record","1","1","0","0","0","http://www.nytimes.com","","","newspaper","2012-07-21 23:01:31"
"2","Common Dreams","Common","About a dozen great news and opinion articles every day","1","0","0","0","0","http://commondreams.org","","","","2012-07-21 23:03:28"
"3","The Energy Bulletin","Energy","Vital articles about peak oil, energy and sustainability","1","0","0","0","0","http://energybulletin.com","","","","2012-07-21 23:06:26"
"4","Media Matters","Media","Tracks and debunks outrageous right wing hype, esp. Fox News","1","0","0","0","0","http://mediamatters.org","","","","2012-07-21 23:09:01"
"5","Naked Capitalism","Naked","Essential economic analysis and commentary","1","0","0","1","0","http://nakedcapitalism.com","","","","2012-07-21 23:14:00"
"6","Nation of Change","Nation","Progressive news aggregation site","1","0","0","0","0","http://www.nationofchange.org","","","","2012-07-21 23:17:15"
